"x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9" "x10" "x11" "x12" "x13" "x14" "x15" "x16" "x17" "x18" "x19" "x20" "x21" "x22" "x23" "x24" "x25" "y"
4.375 6.376 5.391 5.116 5.223 3.944 4.766 6.488 3.704 5.108 4.651 5.074 4.955 4.76 4.554 4.551 5.014 5.09 5.525 3.818 5.234 5.067 5.3 5.477 5.441 35.251
5.489 6.111 6.265 6.451 3.548 5.685 5.574 6.134 5.284 6.571 5.641 5.363 6.209 4.816 6.182 6.441 7.088 6.12 4.74 4.968 6.591 5.999 6.66 5.506 5.806 37.096
6.151 5.424 6.851 7.682 5.989 5.858 5.236 5.396 5.626 6.47 6.298 6.795 6.045 4.944 6.306 6.057 4.898 5.735 5.66 6.702 5.663 7.25 6.028 6.346 5.548 43.88
3.527 4.63 4.423 4.464 6.032 5.492 4.147 4.455 3.694 3.197 4.274 3.52 4.798 3.655 3.761 4.16 5.473 3.968 3.798 2.792 3.971 3.784 5.98 4.473 2.756 37.468
4.101 5.26 7.229 5.659 4.31 3.731 4.501 4.966 5.984 5.025 5.334 6.299 4.843 4.953 4.203 4.883 4.353 4.22 5.344 4.395 6.162 5.097 4.244 3.4 4.388 40.482
5.637 6.076 5.851 5.979 6.197 5.541 5.239 6.261 5.168 6.503 5.938 5.881 6.345 4.97 7.012 5.117 6.419 4.478 5.799 5.956 6.39 5.522 5.672 6.442 6.268 39.454
3.918 3.759 4.975 3.162 5.125 5.004 5.46 3.623 4.078 4.512 4.683 3.796 6.295 5.222 3.799 4.487 3.347 4.292 5.715 4.843 5.677 5.352 5.231 5.636 4.542 32.402
5.354 5.849 4.909 4.934 5.635 4.635 4.578 4.517 4.362 4.519 4.929 5.022 4.919 4.16 4.929 6.448 5.357 5.088 3.977 4.1 4.238 5.1 7.007 4.329 5.159 35.222
6.491 5.279 5.02 4.369 5.373 5.224 4.105 4.194 4.14 5.232 4.9 4.604 4.626 4.883 5.091 5.284 4.884 4.653 5.359 5.308 3.633 5.402 5.091 5.598 4.705 32.763
4.278 3.985 5.337 2.825 4.487 4.06 5.812 3.884 4.041 4.268 4.366 4.071 5.374 4.452 4.305 3.884 6.243 3.03 5.295 3.482 3.89 4.189 4.724 3.334 5.382 32.209
3.931 3.967 4.724 4.745 5.709 4.409 4.066 4.596 5.114 5.18 5.007 4.774 4.69 4.961 4.552 4.809 4.995 5.4 4.034 5.187 3.291 5.012 4.148 5.272 4.411 33.995
4.528 5.631 4.24 5.329 5.435 5.7 4.153 3.91 5.183 5.828 6.823 3.462 6.718 5.775 4.225 4.664 5.513 4.43 5.259 4.412 4.65 5.666 5.154 3.385 4.395 39.158
4.852 5.787 4.735 4.978 3.793 5.786 3.136 4.082 4.908 5.317 3.907 4.401 4.672 5.021 4.761 4.788 3.971 5.93 4.58 5.055 3.774 4.805 5.291 5.204 4.004 33.712
5.598 5.137 5.881 6.994 5.984 6.134 5.293 5.396 5.486 5.311 4.346 6.512 5.886 5.929 6.85 6.082 7.333 6.568 5.964 5.055 5.046 6.784 5.093 5.649 4.76 35.309
4.068 4.4 5.082 4.972 7.115 4.79 3.342 4.743 4.801 3.804 5.652 4.564 5.25 3.648 4.574 3.575 5.01 4.707 4.377 4.61 4.761 5.089 5.018 4.956 3.42 36.35
5.037 3.931 5.166 5.99 4.297 4.482 4.844 4.444 5.404 5.331 4.694 4.655 4.213 4.692 5.116 4.47 4.184 4.431 3.655 3.998 4.03 5.767 4.934 4.677 4.749 30.631
4.209 5.843 5.771 5.683 5.731 5.554 6.331 6.501 4.266 6.474 5.41 4.608 5.828 5.526 6.133 5.493 5.234 5.215 5.831 4.993 6.032 4.42 5.636 6.004 4.835 34.445
4.117 3.782 5.531 3.953 4.649 3.302 3.597 3.702 4.998 3.913 4.351 4.509 4.02 3.822 4.564 5.01 5.293 4.27 4.292 2.573 3.579 3.402 4.148 5.282 5.297 30.876
